"하모니마트 수내점","할인점/슈퍼마켓","경기 성남시 분당구 황새울로200번길 40","수내동"
"해리아","식품잡화","경기 성남시 분당구 미금일로90번길 11,204동 405호","구미동, 까치마을금성백조연립"
"주식회사 오아시스 분당본점","식품잡화","경기 성남시 분당구 정자일로 15,1층","금곡동"
"뉴동방상사","식품잡화","경기 성남시 분당구 석운로164번길 6뉴동방상사","석운동"
"주식회사 그린스토어","인삼 및 건강제품","경기 성남시 분당구 느티로 16,807호","정자동"
"(주)기센코리아","식품잡화","경기 성남시 분당구 새마을로165번길 8 ,지1,1층","율동"
"판교낙생농업협동조합 하나로마트","농협(마트)","경기 성남시 분당구 서판교로32번길 7","판교동"
"진일상사","할인점/슈퍼마켓","경기 성남시 분당구 수내로 201진일상사","분당동, 샛별마을삼부아파트"
"메이드인프랑스","식품잡화","경기 성남시 분당구 불정로376번길 37","서현동,범한프라자1층120호"
"연세아름","인삼 및 건강제품","경기 성남시 분당구 판교로 442402호 우일파르자","이매동"
"사단법인국제사랑의봉사단","인삼 및 건강제품","경기 성남시 분당구 분당내곡로 151,8층","삼평동"
"메디포스트(주)","인삼 및 건강제품","경기 성남시 분당구 대왕판교로644번길 21","삼평동"
"태영홈마트","할인점/슈퍼마켓","경기 성남시 분당구 판교원로82번길 30101호","운중동, 산운마을13단지아파트"
"(주)차바이오에프앤씨","인삼 및 건강제품","경기 성남시 분당구 판교로 335,6층","삼평동"
"스타편의점","할인점/슈퍼마켓","경기 성남시 분당구 정자일로 121D14호","정자동, 더샵스타파크"
"청솔매점","식품잡화","경기 성남시 분당구 성남대로779번길 16청솔매점","이매동"
"안아픈세상","인삼 및 건강제품","경기 성남시 분당구 느티로 702층 성산빌딩","정자동"
"믿음반찬","식품잡화","경기 성남시 분당구 내정로174번길 42112","수내동,파크타운주상복합상가"
"풀무원푸드앤컬처 엔에이치앤","식품잡화","경기 성남시 분당구 불정로 6",""
"세자매찬방","식품잡화","경기 성남시 분당구 내정로174번길 42148호","수내동, 파크타운"
"씨유야탑타운점","편의점","경기 성남시 분당구 장미로156번길 6","야탑동"
"마젤커피공작소","식품잡화","경기 성남시 분당구 내정로 186104","수내동,파크타운난초상가"
"제이투코리아","식품잡화","경기 성남시 분당구 서현로210번길 1305","서현동,보람코아"
"분당서울안과의원","인삼 및 건강제품","경기 성남시 분당구 분당로53번길 20,5층 501호 일부","서현동, 이랜드분당프라자"
