Name,Address,IndustryInfo,Neighborhood,좌표
태후사랑,"이용,미용",경기 성남시 분당구 느티로69번길 15,정자동,
우성미용실,"이용,미용",경기 성남시 분당구 서현동94번지 현대근린상가 1층 114호,,
앙시엘 (Un ciel),"이용,미용",경기 성남시 분당구 운중로225번길 60,판교동,
헤어토크,"이용,미용",경기 성남시 분당구 운중로126번길 8,운중동,
머리사랑미용실,"이용,미용",경기 성남시 분당구 궁내동249-2 1층,,
정인헤어,"이용,미용",경기 성남시 분당구 구미동203-1번지 3층,,
지팡구화장품,화장품,경기 성남시 분당구 서현동255-1번지 분당풍림아이원플러스오피스텔 229-3,,
(주)네이처리퍼블릭 분당서현점,화장품,경기 성남시 분당구 서현동248-5번지 코코프라자 103호 104호,,
몽구리,"이용,미용",경기 성남시 분당구 서현동307번지 효자촌주상복합상가 601-1067,,
김호증가모헤어샵 by 라헬,"이용,미용",경기 성남시 분당구 성남대로165 천사의도시오피스텔 근239호,금곡동,
미백천사(정자),화장품,경기 성남시 분당구 정자동16-1번지 AK와이즈플레이스 B동 2508호,,
메종드헤어0403,"이용,미용",경기 성남시 분당구 금곡동161번지 천사의도시1차 212호,,
살롱드뮤헤어,"이용,미용",경기도 성남시 분당구 내정로119번길 341층,,
골든네일,화장품,경기도 성남시 분당구 판교원로 2091층 104호,,
(주)코스알엑스,화장품,경기도 성남시 분당구 성남대로 69612호,,
손이곱구려,"이용,미용",경기도 성남시 분당구 내정로173번길 11주상복합상가603동219호,,
TMC. KOREA (티엠씨코리아),화장품,경기도 성남시 분당구 운중로 1761층 104-2호,,
멤브레인,화장품,경기도 성남시 분당구 돌마로 464층,"구미동,광천프라자407-9호",
헤어반스타트,"이용,미용",경기도 성남시 분당구 돌마로 521동 303호,,
팔레트헤어살롱,"이용,미용",경기도 성남시 분당구 성남대로 1512층 219호,,
재연류헤어,"이용,미용",경기도 성남시 분당구 미금일로 24상가동 104호,,
(주)오월의아침 코스메틱,화장품,경기도 성남시 분당구 돌마로 465층 502호,"구미동,광천프라자",
송헤어살롱,"이용,미용",경기도 성남시 분당구 탄천상로 1641층 에프-27호,,
진영뷰티,화장품,경기도 성남시 분당구 돌마로 46423-35호,,
,,,,
,,,,
,,,,
,,,,
,,,,
