MarkerInfo(storeName:”,제이에프씨(JFC),"“,address:”",농수산물,경기 성남시 분당구 정자일로 55,"“,address_detail:”","금곡동, 분당두산위브아파트","“,latitude:","(37.3507854, 127.1063437)"
MarkerInfo(storeName:”,캐틀하우스 분당미금역점,"“,address:”",정육점,경기도 성남시 분당구 정자일로 15,"“,address_detail:”","금곡동,분당하우스토리","“,latitude:","(37.3507854, 127.1063437)"
MarkerInfo(storeName:”,한라태광,"“,address:”",정육점,경기 성남시 분당구 정자일로 72,"“,address_detail:”","금곡동, 청솔마을한라아파트","“,latitude:","(37.3507854, 127.1063437)"
MarkerInfo(storeName:”,캐틀하우스 분당미금역점,"“,address:”",정육점,경기도 성남시 분당구 정자일로 15,"“,address_detail:”","금곡동, 분당하우스토리","“,latitude:","(37.3507854, 127.1063437)"
MarkerInfo(storeName:”,투플러스한우 (1++),"“,address:”",정육점,경기 성남시 분당구 정자일로 21,"“,address_detail:”","금곡동, 삼라마이다스빌","“,latitude:","(37.351614100000006, 127.1058724429299)"
MarkerInfo(storeName:”,해피푸릇,"“,address:”",청과물,경기 성남시 분당구 정자일로 25,"“,address_detail:”","금곡동, 대덕프라자","“,latitude:","(37.352339549999996, 127.105629875)"
MarkerInfo(storeName:”,247케이크,"“,address:”",농가공산품,경기 성남시 분당구 불곡남로 13,"“,address_detail:”",정자동,"“,latitude:","(37.358259849999996, 127.12341630864034)"
MarkerInfo(storeName:”,순우리한우,"“,address:”",정육점,경기 성남시 분당구 쇳골로17번길 3,"“,address_detail:”",금곡동,"“,latitude:","(37.3623672, 127.0987316)"
MarkerInfo(storeName:”,천지정육,"“,address:”",정육점,경기도 성남시 분당구 성남대로331번길 3-9,"“,address_detail:”","정자동, 백궁프라자","“,latitude:","(37.3648454, 127.10772195)"
MarkerInfo(storeName:”,딸기모자 아저씨,"“,address:”",농수산물,경기 성남시 분당구 판교대장로4길 13 ,"“,address_detail:”",대장동,"“,latitude:","(37.3648747, 127.06815450250596)"
MarkerInfo(storeName:”,성실지압원,"“,address:”",농수산물,경기 성남시 분당구 성남대로331번길 3-3,"“,address_detail:”",정자동,"“,latitude:","(37.3653298, 127.1077077)"
MarkerInfo(storeName:”,푸른목장,"“,address:”",농가공산품,경기도 성남시 분당구 판교대장로6길 7,"“,address_detail:”",대장동,"“,latitude:","(37.3671009, 127.06894498323418)"
MarkerInfo(storeName:”,선비떡방,"“,address:”",농가공산품,경기 성남시 분당구 돌마로366번길 42,"“,address_detail:”",수내동,"“,latitude:","(37.3671671, 127.1267389)"
MarkerInfo(storeName:”,촌놈,"“,address:”",농수산물,경기 성남시 분당구 돌마로366번길 42,"“,address_detail:”","수내동, 외1필지","“,latitude:","(37.3671671, 127.1267389)"
MarkerInfo(storeName:”,물댄동산,"“,address:”",농수산물,경기도 성남시 분당구 장안로4번길 6.,"“,address_detail:”",,"“,latitude:","(37.3675081, 127.14100895)"
MarkerInfo(storeName:”,온누리축산,"“,address:”",정육점,경기 성남시 분당구 장안로16번길 10,"“,address_detail:”",분당동,"“,latitude:","(37.36796, 127.1425269604321)"
MarkerInfo(storeName:”,홍초,"“,address:”",농수산물,경기 성남시 분당구 장안로16번길 30,"“,address_detail:”",분당동,"“,latitude:","(37.3679628, 127.14471398882122)"
