Name,Address,IndustryInfo,Neighborhood,좌표
스킨존,화장품,경기 성남시 분당구 돌마로90번길 4,1-405,"(37.34969705, 127.111731197577)"
노아헤어,"이용,미용",경기 성남시 분당구 매화로 39,2층,"(37.41110485, 127.1335593914342)"
수지헤어라인,"이용,미용",경기 성남시 분당구 분당로263번길 68,한신라이프상가 101,"(37.3724479, 127.1411847)"
김한주헤어콜렉션,"이용,미용",경기 성남시 분당구 분당로263번길 35,102,"(37.3724479, 127.1411847)"
한유진 헤어살롱,"이용,미용",경기 성남시 분당구 성남대로 165,144호,"(37.3724397, 127.1081833)"
쥬얼리헤어샵,"이용,미용",경기 성남시 분당구 정자동124 상록라이프상가102,,
푸른셀,화장품,경기 성남시 분당구 야탑남로 14,303,
이순화헤어샵,"이용,미용",경기 성남시 분당구 이매로 125,1층,"(37.391538499999996, 127.13336718627247)"
미앤지미용실,"이용,미용",경기 성남시 분당구 성남대로2번길 6,LG트윈스하우스 1층 115,"(37.335254250000006, 127.10990622904114)"
헤어쇼,"이용,미용",경기 성남시 분당구 백현로101번길 24,203,"(37.3764421, 127.1114779)"
(주)비케이바이오,화장품,경기 성남시 분당구 장미로 42,403호,"(37.4134109, 127.1331151)"
카라헤어샵,"이용,미용",경기 성남시 분당구 양현로 509,매화마을 근린상가 101,"(37.40638195, 127.12596919416887)"
신데렐라미용실,"이용,미용",경기 성남시 분당구 구미동112-3하얀마을6단지 상가2층,,
연세미에스테틱,화장품,경기 성남시 분당구 백현로101번길 24,2제 401호,"(37.3764421, 127.1114779)"
박정덕 비에스피,화장품,경기 성남시 분당구 장안로52번길 13,분당동,"(37.369977750000004, 127.1457323422334)"
엘레강스,화장품,경기 성남시 분당구 내정로165번길 50,3층,"(37.37710585, 127.11543027408977)"
닥터지 에스테틱,화장품,경기 성남시 분당구 서현로210번길 20,5층 502호,"(37.3863737, 127.1254126)"
이정헤어팜,"이용,미용",경기 성남시 분당구 내정로173번길 11,대명제스트 213호,"(37.3759028, 127.1178763)"
최은숙헤어갤러리,"이용,미용",경기 성남시 분당구 장미로156번길 5,1층,"(37.4124387, 127.13817105000001)"
덴헤이뷰띠끄,"이용,미용",경기 성남시 분당구 발이봉남로7번길 1,1층,"(37.36530275, 127.12616960095137)"
화이트스킨케어,화장품,경기 성남시 분당구 야탑로 64,야탑에이스코아 B1층,"(37.40943235, 127.12591753750729)"
블랙형,"이용,미용",경기 성남시 분당구 장미로132번길 11-3,1층,"(37.4123197, 127.13559678140373)"
