storeName,type,address,district,latitude,longitude
스킨팰리스,,경기 성남시 분당구 백현로 97,,37.3770252,127.110418
리지엔피부관리실,,경기 성남시 분당구 성남대로 385,,37.3705166,127.107650300093
이노헤어,,경기 성남시 분당구 돌마로 481,,37.3751247,127.1300684
아모레,,경기 성남시 분당구 황새울로312번길 20,,37.38405935,127.12261108667
박소현 천연화장품 만들기,,경기 성남시 분당구 미금일로80번길 4,,37.34633885,127.11108575
헤어코디(한라미용실),,경기 성남시 분당구 정자일로 72,,37.3507854,127.1063437
나노헤어,,경기 성남시 분당구 백현로101번길 16,,37.3770069,127.1126882
나랑헤어샵,,경기 성남시 분당구 미금로 114,,37.3487698,127.117186748023
중구,,경기 성남시 분당구 내정로173번길 49,,37.3775217,127.115792
마이미용실,,경기 성남시 분당구 발이봉남로4번길 10,,37.36494035,127.124956538194
아모레카운셀러,,경기 성남시 분당구 황새울로312번길 20,,37.38405935,127.12261108667
이철헤어커커 (미금3호점),,경기 성남시 분당구 성남대로 165,,37.3801547,127.1187021
제이아르뷰,,경기 성남시 분당구 장미로100번길 6,,37.4129851,127.131769124598
아모레,,경기 성남시 분당구 황새울로312번길 20,,37.38405935,127.12261108667
유난희고은피부,,경기 성남시 분당구 돌마로 481,,37.3751247,127.1300684
밀리헤어,,경기 성남시 분당구 서현로180번길 13,,37.3878973,127.1228833
이은주미용실,,경기 성남시 분당구 불정로 219,,37.3762283,127.139504
알로에마임,,경기 성남시 분당구 야탑로 95,,37.4101687,127.129298099889
Queen,,경기 성남시 분당구 정자일로 55,,37.3507854,127.1063437
아모레 카운셀러,,경기 성남시 분당구 매화로 38,,37.41101655,127.134173433171
피부사랑,,경기 성남시 분당구 미금로 45,,37.3392061,127.1160914
미데르마에스테틱,,경기 성남시 분당구 성남대로331번길 3-3,,37.3653298,127.1077077
아름다운 사람들,,경기 성남시 분당구 장안로16번길 2,,37.36857605,127.141783388971
셀라뷰티케어,,경기 성남시 분당구 미금로 36,,37.3392061,127.1160914
에반젤뷰티센세이션,,경기 성남시 분당구 내정로165번길 38,,37.376703,127.116195
고운한지아트,,경기 성남시 분당구 장미로92번길 7-8,,37.41275595,127.131814894937
아름다운사람들의공간,,경기 성남시 분당구 발이봉남로7번길 1,,37.36530275,127.126169600951
뷰티 인 서인,,경기 성남시 분당구 정자일로 1,,37.3507854,127.1063437
미사랑,,경기 성남시 분당구 내정로166번길 43,,37.3717071,127.1211621
CAC 코리아화장품,,경기 성남시 분당구 문정로 130,,37.3836732,127.1505644
류현아헤어크리닉,,경기 성남시 분당구 판교로 430,,37.4001937,127.0962964
아리아스,,경기 성남시 분당구 불정로420번길 34-1,,37.3747651,127.143054056266
수화장품,,경기 성남시 분당구 불정로376번길 31,,37.372353,127.1381386
바디갤러리,,경기 성남시 분당구 돌마로 51,,37.3751247,127.1300684
아모레외판,,경기 성남시 분당구 매화로 38,,37.41101655,127.134173433171
마임 판교,,경기 성남시 분당구 양현로94번길 7,,37.3907172,127.1262382
마임분당 나오미,,경기 성남시 분당구 야탑로69번길 8,,37.4105208,127.126814899588
알로에마임 손순자,,경기 성남시 분당구 야탑로 95,,37.4101687,127.129298099889
끌리오헤어갤러리,,경기 성남시 분당구 구미로 50,,37.3438358,127.1275804
머리연출,,경기 성남시 분당구 양현로94번길 29,,37.3907172,127.1262382
헤어민스,,경기 성남시 분당구 이매로 13,,37.3949862,127.122144029037
미즈헤어,,경기 성남시 분당구 탄천로 35,,37.3968866,127.1235399
헤어갤러리,,경기 성남시 분당구 서현로371번길 7,,37.37741295,127.139672502598
오지영미용실,,경기 성남시 분당구 불정로386번길 10,,37.372939,127.138965
나이스가이,,경기 성남시 분당구 야탑로69번길 24-6,,37.411616,127.12730734958
마이미용재료,,경기 성남시 분당구 판교로 437,,37.4057256,127.1224341
준오헤어,,경기 성남시 분당구 돌마로 51,,37.3751247,127.1300684
이상희헤어갤러리,,경기 성남시 분당구 내정로166번길 7-6,,37.3717071,127.1211621
마임분당하은,,경기 성남시 분당구 야탑로 95,,37.4101687,127.129298099889
신혜정헤어갤러리,,경기 성남시 분당구 장미로 139,,37.4134109,127.1331151
아모레카운셀러,,경기 성남시 분당구 매화로 38,,37.41101655,127.134173433171
마중헤어살롱,,경기 성남시 분당구 매화로 53 ,,37.4122944,127.13362175
샤르망,,경기 성남시 분당구 황새울로200번길 22,,37.3762869,127.1125803
바른체형,,경기 성남시 분당구 황새울로 315,,37.3849405,127.1206052
유난희 고운피부,,경기 성남시 분당구 판교로 433,,37.4001937,127.0962964
라인 카이로프랙틱,,경기 성남시 분당구 돌마로486번길 12,,37.3766777,127.1347595
